"Num�ro de soci�t�                                                               " ,"Code table param�tre                                                            " ,"Code bar�me d'assurance                                                         " ,"Filler                                                                          " ,"Date de prise d'effet                                                           " ,"Libell� du bar�me                                                               " ,"Taux de perception                                                              " ,"Ind. de compl�ment de taux selon �ge                                            " ,"Age de r�f�rence                                                                " ,"Sens du compl�ment de taux                                                      " ,"Compl�ment de taux                                                              " ,"Mode de saisie du taux                                                          " ,"Code date de r�f�rence                                                          " ,"Indicateur de gestion de tranches                                               " ,"Code base expression des tranches                                               " ,"Indicateur de validit�"
"350  "                                                                            ,"P011"                                                                             ,"01   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"ASS PERIODIQUE SUR LE CRD       "                                                 ,"00,033200"                                                                        ,"O"                                                                                ,"  "                                                                               ,"-"                                                                                ,"        "                                                                         ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"02   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"ASS UNIQUE SUR LE CAPITAL       "                                                 ,"04,070000"                                                                        ,"N"                                                                                ,"  "                                                                               ,"-"                                                                                ,"        "                                                                         ," "                                                                                ," "                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"03   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me 01,<=30 ans              "                                                 ,"00,022700"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"04   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me 02, > 30 ans <=40 ans    "                                                 ,"00,027300"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"05   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me 03, > 40 ans <=50 ans    "                                                 ,"00,060600"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"06   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me 04, > 50 ans             "                                                 ,"00,013720"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"07   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 01,<=60 mois       "                                                 ,"01,320000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"08   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 02, >60 <=180 mois "                                                 ,"02,030000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"09   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 03, >180 <=240 mois"                                                 ,"03,030000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"10   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 04, >240 <=300 mois"                                                 ,"04,380000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"11   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 05, >300 <=324 mois"                                                 ,"04,500000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
"350  "                                                                            ,"P011"                                                                             ,"12   "                                                                            ,"               "                                                                  ,"        "                                                                         ,"Bar�me Dur�e 06, >324 <=504 mois"                                                 ,"05,280000"                                                                        ,"N"                                                                                ,"00"                                                                               ,"+"                                                                                ,"00,000000"                                                                        ,"1"                                                                                ,"A"                                                                                ," "                                                                                ," "                                                                                ,"O"
